diamond_id,shape,size,color,clarity,cut,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,girdle_condition,culet_size,fluor_color,fluor_intensity,has_cert_file,lab,has_video,eye_clean,has_image_file,has_sarineloupe,ratio,is_bgm,shade,milky,Total_Price
161987709,Round,0.1,K,SI2,Very Good,Good,Very Good,62.9,57.8,2.95,2.97,1.86,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,77.7
165402014,Round,0.1,K,VS1,Fair,Fair,Very Good,59.7,57,3.14,3.14,0,,,,N,,Medium,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,81.4
166911262,Round,0.18,E,I2,Very Good,Very Good,Very Good,59.4,60.63,3.65,3.7,2.18,,,,N,,Medium,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,81.4
164883898,Pear,0.1,J,I1,,Very Good,Very Good,64.4,64.4,3.79,2.53,1.63,,,,N,,Strong,FALSE,NONE,TRUE,Yes,FALSE,FALSE,1.498,TRUE,None,None,83.25
164318465,Pear,0.1,D,I2,Excellent,Excellent,Excellent,58.7,57.6,4.03,2.62,1.54,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.538,TRUE,None,None,83.25
164316497,Pear,0.1,F,I2,Fair,Excellent,Excellent,64.7,55.2,3.82,2.52,1.63,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.516,TRUE,None,None,83.25
164914706,Round,0.1,E,I1,Good,Good,Very Good,62.8,60.7,2.9,2.94,1.83,,,,N,,Faint,FALSE,NONE,TRUE,Yes,FALSE,FALSE,0,TRUE,None,None,85.1
164914634,Round,0.1,G,I1,Very Good,Good,Very Good,61.1,63.8,2.94,2.98,1.81,,,,N,,Faint,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,85.1
165401866,Round,0.1,D,I1,Good,Good,Very Good,65,55.9,2.83,2.88,1.85,,,,N,,None,FALSE,NONE,TRUE,Yes,FALSE,FALSE,0,TRUE,None,None,85.1
165401892,Round,0.1,E,I1,Fair,Good,Very Good,63.9,57.8,3.12,3.12,0,,,,N,,Medium,FALSE,NONE,TRUE,Yes,FALSE,FALSE,0,TRUE,None,None,85.1
164883547,Round,0.1,E,I1,Good,Very Good,Very Good,59.9,60.6,2.98,3.02,1.8,,,,N,,Medium,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,85.1
164914672,Round,0.11,L,VVS2,Good,Very Good,Very Good,59.7,61.7,3.04,3.06,1.82,,,,N,,None,FALSE,NONE,TRUE,Yes,FALSE,FALSE,0,TRUE,None,None,86.95
162097454,Round,0.11,K,VVS2,Good,Fair,Very Good,62.5,58.51,3.04,3.05,1.9,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,86.95
164883162,Round,0.11,K,VS2,Excellent,Good,Very Good,61.3,56.6,3.02,3.04,1.85,,,,N,,Strong,FALSE,NONE,TRUE,Yes,TRUE,FALSE,0,TRUE,None,None,88.8
164883109,Pear,0.1,G,I1,,Very Good,Very Good,57.2,62.9,4.29,2.64,1.51,,,,N,,Faint,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.625,TRUE,None,None,88.8
166451868,Pear,0.1,F,I1,Fair,Very Good,Very Good,64.7,62.3,4.04,2.52,1.63,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.603,TRUE,None,None,88.8
167266673,Pear,0.1,H,SI3,Very Good,Very Good,Very Good,65.5,51.8,3.98,2.52,1.65,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.579,TRUE,None,None,88.8
164317101,Pear,0.1,H,I1,Fair,Excellent,Excellent,61.8,64.2,4.2,2.54,1.57,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.654,TRUE,None,None,88.8
164317432,Pear,0.1,E,I1,Excellent,Excellent,Excellent,61.8,62.6,4.06,2.59,1.6,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.568,TRUE,None,None,88.8
163508289,Pear,0.1,G,I1,,Very Good,Very Good,64.9,63.9,3.83,2.54,1.65,,,,N,,Faint,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.508,TRUE,None,None,88.8
164317576,Pear,0.1,F,I1,Excellent,Excellent,Excellent,65.4,58.8,4.03,2.42,1.58,,,,N,,None,FALSE,NONE,TRUE,Yes,TRUE,FALSE,1.665,TRUE,None,None,88.8
